gvkey,CUSIP,earningsdate,,permno,ticker,ret_1day,ret_1daypost,ret_5day,ret_3day,ret_2day,yq,,,,,,,
178698,00030710,05nov2014,2014,14945,AAC,0.98366892,1.0772036,0.19368589,0.057290975,0.059611715,2014q4,,Year,Count,%,,Unique Firms,Count
178698,00030710,24feb2015,2015,14945,AAC,1.0338434,1.1216725,0.18663709,0.22564094,0.15963373,2015q1,,2010,8860,5%,,AAC,18
178698,00030710,29apr2015,2015,14945,AAC,0.99006426,1.1176707,0.087788254,0.1158262,0.1065658,2015q2,,2011,10992,7%,,AADI,13
178698,00030710,29jul2015,2015,14945,AAC,0.97903877,0.9587568,-0.17425375,-0.060602624,-0.061339941,2015q3,,2012,10596,7%,,AAON,59
178698,00030710,27oct2015,2015,14945,AAC,0.98767519,0.91013819,-0.1091606,-0.093376227,-0.10107907,2015q4,,2013,10518,6%,,AIR,29
178698,00030710,23feb2016,2016,14945,AAC,1.0364803,0.98729157,-0.005317361,0.06734892,0.023308344,2016q1,,2014,10979,7%,,ABD,8
178698,00030710,05may2016,2016,14945,AAC,1.1013139,0.98903912,0.053440712,0.050022669,0.089242637,2016q2,,2015,11089,7%,,ACCO,51
178698,00030710,04aug2016,2016,14945,AAC,1.002192,0.9305039,-0.16390777,-0.12856852,-0.067456387,2016q3,,2016,10814,7%,,ACMR,36
178698,00030710,03nov2016,2016,14945,AAC,0.49481514,0.96406031,-0.57345164,-0.53073245,-0.52296835,2016q4,,2017,10680,7%,,ADCT,3
178698,00030710,27feb2017,2017,14945,AAC,0.99932432,1.2128159,0.14470123,0.18639645,0.21199645,2017q1,,2018,10604,7%,,ADAM,3
178698,00030710,03may2017,2017,14945,AAC,0.94751585,1.0780125,0.004511405,0.12016051,0.02143389,2017q2,,2019,10528,6%,,ADMA,41
178698,00030710,02aug2017,2017,14945,AAC,0.93761969,1.2051506,0.29482108,0.16335033,0.12997296,2017q3,,2020,10562,6%,,ADT,42
178698,00030710,01nov2017,2017,14945,AAC,0.95253503,1.3268123,0.34786883,0.2181145,0.2638351,2017q4,,2021,11545,7%,,ABSI,14
178698,00030710,21feb2018,2018,14945,AAC,1.0351553,1.0713799,0.13606077,0.090688169,0.10904456,2018q1,,2022,12240,8%,,ABVC,14
178698,00030710,02may2018,2018,14945,AAC,1.0611778,0.96604198,0.025521206,0.039182577,0.025142387,2018q2,,2023,11803,7%,,ACVA,16
178698,00030710,01aug2018,2018,14945,AAC,0.93392318,0.88716221,-0.17882913,-0.18237597,-0.17145865,2018q3,,2024,11033,7%,,ABM,60
178698,00030710,06nov2018,2018,14945,AAC,0.55173475,0.99087924,-0.49117374,-0.49755886,-0.45329747,2018q4,,TOTAL,162843,100%,,AEPI,16
178698,00030710,30aug2019,2019,14945,AAC,0.8746261,0.89886653,-0.066676416,-0.095822282,-0.21382786,2019q3,,,,,,AGCO,59
039527,00032Q10,10nov2021,2021,17869,AADI,0.84110945,1.0017028,-0.1153547,-0.1843148,-0.15745834,2021q4,,,,,,WGA,27
039527,00032Q10,17mar2022,2022,17869,AADI,1.0700415,0.95999581,0.006873399,0.047086682,0.02723542,2022q1,,,,,,AES,59
039527,00032Q10,12may2022,2022,17869,AADI,1.0918753,1.0813012,0.1873242,0.12182535,0.18064615,2022q2,,,,,,AKA,13
039527,00032Q10,10aug2022,2022,17869,AADI,0.9624809,0.95267397,-0.051853668,-0.085630208,-0.083069526,2022q3,,,,,,AKS,40
039527,00032Q10,09nov2022,2022,17869,AADI,1.0495105,0.96633732,-0.028355045,0.009611522,0.014181141,2022q4,,,,,,DUCK,4
039527,00032Q10,28mar2023,2023,17869,AADI,0.94564492,1.025614,-0.036433041,-0.033244003,-0.03013329,2023q1,,,,,,ALCS,5
039527,00032Q10,10may2023,2023,17869,AADI,0.82983601,0.9771421,-0.16336182,-0.17629999,-0.18913233,2023q2,,,,,,ALF,3
039527,00032Q10,09aug2023,2023,17869,AADI,0.9379639,1.0624077,0.000149019,-0.023714731,-0.003499875,2023q3,,,,,,ALJJ,26
039527,00032Q10,08nov2023,2023,17869,AADI,0.96514124,0.97618419,-0.066087507,-0.065891519,-0.057844408,2023q4,,,,,,AMAG,43
039527,00032Q10,13mar2024,2024,17869,AADI,1.1141481,0.95392054,-0.018578917,-0.050995704,0.062808774,2024q1,,,,,,AMCX,54
039527,00032Q10,08may2024,2024,17869,AADI,0.8730585,1.0158591,-0.070819132,-0.065148212,-0.1130956,2024q2,,,,,,AMC,35
039527,00032Q10,07aug2024,2024,17869,AADI,0.97167999,0.9772197,-0.028305691,-0.046318833,-0.050455142,2024q3,,,,,,ALXO,18
039527,00032Q10,06nov2024,2024,17869,AADI,1.0395318,0.98345149,0.017917244,0.025063977,0.022329187,2024q4,,,,,,AHS,26
021542,00036020,06may2010,2010,76868,AAON,1.0090595,0.99317306,0.009145039,-0.028669856,0.00217073,2010q2,,,,,,AMN,38
021542,00036020,06aug2010,2010,76868,AAON,0.96591079,0.98549849,-0.076179042,-0.062394448,-0.048096392,2010q3,,,,,,POWW,15
021542,00036020,08nov2010,2010,76868,AAON,0.9981032,1.0028334,0.01257404,-0.003493053,0.000931241,2010q4,,,,,,AMRK,44
021542,00036020,10mar2011,2011,76868,AAON,0.97456795,0.96327925,-0.051025219,-0.060145061,-0.061218895,2011q1,,,,,,ANIP,46
021542,00036020,05may2011,2011,76868,AAON,1.0285029,0.9854247,0.0225161,0.002651885,0.013512149,2011q2,,,,,,AOL,21
021542,00036020,04aug2011,2011,76868,AAON,0.8671484,1.0471624,-0.049075291,-0.079629704,-0.091954753,2011q3,,,,,,APAC,6
021542,00036020,08nov2011,2011,76868,AAON,1.0169022,0.98889786,0.012286565,0.020211905,0.00561245,2011q4,,,,,,ATNY,18
021542,00036020,14mar2012,2012,76868,AAON,1.0400187,1.0111614,0.09471336,0.070715539,0.051626768,2012q1,,,,,,APG,19
021542,00036020,08may2012,2012,76868,AAON,1.0168015,0.99727333,0.006581513,0.011885487,0.014029017,2012q2,,,,,,ARP,3
021542,00036020,08aug2012,2012,76868,AAON,1.0509117,0.98873174,-0.001271483,0.031910677,0.039069742,2012q3,,,,,,ARC,56
021542,00036020,08nov2012,2012,76868,AAON,1.001545,0.96610636,-0.028422501,-0.047115564,-0.032401063,2012q4,,,,,,ASGN,59
021542,00036020,13mar2013,2013,76868,AAON,1.0265923,1.0179586,0.04967298,0.036210608,0.045028508,2013q1,,,,,,ARIS,21
021542,00036020,09may2013,2013,76868,AAON,1.0584065,0.9946593,0.040772814,0.045256272,0.052753873,2013q2,,,,,,T,59
021542,00036020,08aug2013,2013,76868,AAON,1.029904,1.0243971,0.10269967,0.068969235,0.055030636,2013q3,,,,,,ATMI,16
021542,00036020,07nov2013,2013,76868,AAON,0.9244557,0.98841572,-0.056080185,-0.085200131,-0.086253412,2013q4,,,,,,ATSI,2
021542,00036020,13mar2014,2014,76868,AAON,0.9462238,1.0119781,-0.029836336,-0.040733896,-0.042442225,2014q1,,,,,,ATPG,9
021542,00036020,05may2014,2014,76868,AAON,1.0910852,0.9821161,0.072358467,0.093025625,0.071572348,2014q2,,,,,,ATSC,8
021542,00036020,07aug2014,2014,76868,AAON,0.97117227,1.0082167,-0.074801303,-0.036409978,-0.02084784,2014q3,,,,,,ATAC,2
021542,00036020,06nov2014,2014,76868,AAON,1.0257856,0.99512666,0.028495112,0.016803632,0.020786487,2014q4,,,,,,LIFE,52
021542,00036020,27feb2015,2015,76868,AAON,0.9576329,1.0193871,-0.049423445,-0.023952078,-0.023801366,2015q1,,,,,,ATYR,2
021542,00036020,07may2015,2015,76868,AAON,0.93990034,0.98747742,-0.049540758,-0.057077609,-0.071869679,2015q2,,,,,,ATEN,41
021542,00036020,06aug2015,2015,76868,AAON,1.0465543,0.99845296,0.059121661,0.048949067,0.044935267,2015q3,,,,,,ARCW,23
021542,00036020,02nov2015,2015,76868,AAON,1.0471534,1.0443995,0.160852,0.07603693,0.093646392,2015q4,,,,,,ATC,6
021542,00036020,25feb2016,2016,76868,AAON,1.0781621,1.0214202,0.15800865,0.15098262,0.10125653,2016q1,,,,,,ATNI,58
021542,00036020,05may2016,2016,76868,AAON,1.0912818,0.99719578,0.068794265,0.072092451,0.08822161,2016q2,,,,,,ASV,10
021542,00036020,04aug2016,2016,76868,AAON,0.97827345,1.0261172,0.019962754,-0.001341368,0.003823182,2016q3,,,,,,ATIP,14
021542,00036020,03nov2016,2016,76868,AAON,0.96891409,1.0012398,-0.035100248,-0.039131541,-0.029884662,2016q4,,,,,,ASTS,12
021542,00036020,23feb2017,2017,76868,AAON,0.92968756,1.0793618,-0.023991896,-0.00202393,0.003469285,2017q1,,,,,,ASPI,7
021542,00036020,04may2017,2017,76868,AAON,1.0021209,0.96736276,-0.014138715,-0.03584623,-0.030585667,2017q2,,,,,,AVTR,29
021542,00036020,03aug2017,2017,76868,AAON,1.0006989,1.0424988,0.030653495,0.038113583,0.043227475,2017q3,,,,,,AVHI,27
