gvkey,CUSIP,ticker,CIK,CoName,cik_source
126554,00846U10,A,1090872.0,AGILENT TECHNOLOGIES INC,cusip_link
27638,01387210,AA,1675149.0,Alcoa Corp,cusip_link
178698,00030710,AAC,1606180.0,AAC Holdings Inc,cusip_link
39527,00032Q10,AADI,1422142.0,Aadi Bioscience Inc,cusip_link
30399,00949P10,AAI,948846.0,AIRTRAN HOLDINGS INC,cusip_link
37445,00258W10,AAN,1821393.0,Aaron's Company Inc,cusip_link
18564,03823U10,AAOI,1158114.0,"APPLIED OPTOELECTRONICS, INC.",ticker_fallback
21542,00036020,AAON,824142.0,AAON INC,cusip_link
145977,00751Y10,AAP,1158449.0,ADVANCE AUTO PARTS INC,cusip_link
1690,03783310,AAPL,320193.0,Apple Inc,cusip_link
163679,00752J10,AATI,1104042.0,ADVANCED ANALOGIC TECHNOLOGIES INC,cusip_link
21020,00773U20,AAVL,1501756.0,Adverum Biotechnologies Inc,cusip_link
61155,04916420,AAWW,1135185.0,ATLAS AIR WORLDWIDE HOLDINGS INC,cusip_link
2831,00752H10,ABAT,745651.0,ADVANCED BATTERY TECHNOLOGIES INC,cusip_link
26366,02451V30,ABAT,1576873.0,AMERICAN BATTERY TECHNOLOGY Co,cusip_link
24888,00256710,ABAX,881890.0,ABAXIS INC,cusip_link
16101,00287Y10,ABBV,1551152.0,ABBVIE INC,cusip_link
31673,03073E10,ABC,1140859.0,AMERISOURCEBERGEN CORP,cusip_link
176939,13201A10,ABCD,1466815.0,CAMBIUM LEARNING GROUP INC,cusip_link
145042,00762W10,ABCO,1157377.0,ADVISORY BOARD CO,cusip_link
164506,00081T10,ABD,712034.0,ACCO BRANDS Corp,cusip_link
1743,03937C10,ABFS,894405.0,ARCBEST CORP /DE/,cusip_link
144640,04343610,ABG,1144980.0,ASBURY AUTOMOTIVE GROUP INC,cusip_link
2337,76117W10,ABH,,,not_found
178855,00383Y10,ABII,1409012.0,ABRAXIS BIOSCIENCES INC,cusip_link
182309,68760410,ABIO,,,not_found
