ticker,company_name,fiscal_yearquarter,earnings_date,ret_2day_pct
AAON,Aaon,2017Q3,2017-08-03,4.32
AAON,Aaon,2018Q4,2018-11-01,12.30
AAON,Aaon,2019Q2,2019-05-02,2.98
AAON,Aaon,2019Q4,2019-10-31,-1.76
AAON,Aaon,2020Q1,2020-02-27,8.44
AAON,Aaon,2020Q2,2020-05-07,1.06
AAON,Aaon,2021Q4,2021-11-04,1.02
AAON,Aaon,2022Q3,2022-08-08,-2.40
AAON,Aaon,2023Q1,2023-02-27,11.53
AAON,Aaon,2024Q1,2024-02-28,-2.48
AAON,Aaon,2024Q4,2024-11-07,13.76
ABM,ABM Industries Incorporated,2018Q1,2018-03-06,3.19
ABM,ABM Industries Incorporated,2018Q2,2018-06-06,11.31
ABM,ABM Industries Incorporated,2018Q3,2018-09-06,6.39
ABM,ABM Industries Incorporated,2018Q4,2018-12-18,20.22
ABM,ABM Industries Incorporated,2019Q1,2019-03-06,-5.32
ABM,ABM Industries Incorporated,2019Q2,2019-06-05,4.60
ABM,ABM Industries Incorporated,2019Q3,2019-09-05,-4.77
ABM,ABM Industries Incorporated,2019Q4,2019-12-18,4.62
ABM,ABM Industries Incorporated,2020Q1,2020-03-04,2.70
ABM,ABM Industries Incorporated,2020Q2,2020-06-17,14.77
ABM,ABM Industries Incorporated,2020Q3,2020-09-08,1.39
ABM,ABM Industries Incorporated,2020Q4,2020-12-16,-2.11
ABM,ABM Industries Incorporated,2021Q1,2021-03-09,3.71
ABM,ABM Industries Incorporated,2021Q2,2021-06-08,0.07
ABM,ABM Industries Incorporated,2021Q3,2021-09-08,-2.17
ABM,ABM Industries Incorporated,2021Q4,2021-12-15,-10.85
ABM,ABM Industries Incorporated,2022Q1,2022-03-08,0.77
ABM,ABM Industries Incorporated,2022Q2,2022-06-08,-9.97
ABM,ABM Industries Incorporated,2022Q3,2022-09-09,-7.41
ABM,ABM Industries Incorporated,2022Q4,2022-12-13,-3.36
ABM,ABM Industries Incorporated,2023Q1,2023-03-08,-1.81
