group,ticker,company_name,fiscal_yearquarter,earnings_date,ret_1day_pct,ret_1daypost_pct,ret_2day_pct,ret_3day_pct,ret_5day_pct
Group 1,NVDA,NVIDIA,2016q2,2016-05-12,-1.28,16.01,14.52,15.79,19.29
Group 1,NVDA,NVIDIA,2016q3,2016-08-11,1.55,5.64,7.28,6.87,6.28
Group 1,NVDA,NVIDIA,2016q4,2016-11-10,-3.33,29.78,25.46,21.83,18.16
Group 1,NVDA,NVIDIA,2017q1,2017-02-09,-2.53,-2.78,-5.24,-5.77,-10.57
Group 1,NVDA,NVIDIA,2017q2,2017-05-09,0.26,17.57,17.88,16.74,23.6
Group 1,NVDA,NVIDIA,2017q3,2017-08-10,-2.84,-5.48,-8.17,-7.06,-1.25
Group 1,NVDA,NVIDIA,2017q4,2017-11-09,-1.48,5.3,3.74,2.2,1.51
Group 1,NVDA,NVIDIA,2018q1,2018-02-08,-1.46,5.47,3.93,5.84,4.37
Group 1,NVDA,NVIDIA,2018q2,2018-05-10,0.84,-2.31,-1.49,-0.22,-3.23
Group 1,NVDA,NVIDIA,2018q3,2018-08-16,-1.43,-5.29,-6.65,-6.64,-3.96
Group 1,AAPL,Apple,2016q2,2016-04-26,-1.03,-6.52,-7.49,-7.75,-10.42
Group 1,AAPL,Apple,2016q3,2016-07-26,-0.85,6.62,5.71,4.63,5.46
Group 1,AAPL,Apple,2016q4,2016-10-25,0.95,-1.97,-1.04,-0.59,-1.55
Group 1,AAPL,Apple,2017q1,2017-01-31,-0.31,6.07,5.74,6.21,5.59
Group 1,AAPL,Apple,2017q2,2017-05-02,0.61,-0.05,0.56,2.41,3.22
Group 1,AAPL,Apple,2017q3,2017-08-01,0.65,4.82,5.51,5.05,4.57
Group 1,AAPL,Apple,2017q4,2017-11-02,0.7,2.33,3.04,1.65,2.99
Group 1,AAPL,Apple,2018q1,2018-02-01,0.24,-2.25,-2.02,-1.77,2.15
Group 1,AAPL,Apple,2018q2,2018-05-01,2.1,4.97,7.18,9.9,13.32
Group 1,AAPL,Apple,2018q3,2018-07-31,-0.35,6.02,5.65,5.64,8.11
Group 1,GOOGL,Alphabet,2016q2,2016-04-21,1.18,-5.6,-4.48,-4.76,-6.43
Group 1,GOOGL,Alphabet,2016q3,2016-07-28,0.34,3.07,3.42,4.14,6.28
Group 1,GOOGL,Alphabet,2016q4,2016-10-27,-0.18,0.53,0.35,-0.16,-1.25
Group 1,GOOGL,Alphabet,2017q1,2017-01-26,-0.06,-1.23,-1.29,-1.05,-3.35
Group 1,GOOGL,Alphabet,2017q2,2017-04-27,0.26,3.97,4.25,4.29,5.47
Group 1,GOOGL,Alphabet,2017q3,2017-07-24,0.46,-3.28,-2.83,-2.58,-4.03
Group 1,GOOGL,Alphabet,2017q4,2017-10-26,-0.15,3.5,3.34,4.21,4.29
Group 1,GOOGL,Alphabet,2018q1,2018-02-01,-0.03,-3.19,-3.22,-2.84,-3.55
Group 1,GOOGL,Alphabet,2018q2,2018-04-23,-0.28,-3.63,-3.9,-4.25,-3.25
Group 1,GOOGL,Alphabet,2018q3,2018-07-23,0.99,3.7,4.73,4.73,6.29
Group 1,MSFT,Microsoft,2016q2,2016-04-21,0.87,-7.35,-6.55,-7.99,-8.65
Group 1,MSFT,Microsoft,2016q3,2016-07-19,-1.38,4.85,3.41,3.64,4.74
Group 1,MSFT,Microsoft,2016q4,2016-10-20,-0.32,4.22,3.88,3.34,5.64
Group 1,MSFT,Microsoft,2017q1,2017-01-26,1.04,2.51,3.58,3.0,1.87
Group 1,MSFT,Microsoft,2017q2,2017-04-27,0.65,0.54,1.2,1.07,2.08
Group 1,MSFT,Microsoft,2017q3,2017-07-20,0.48,-0.49,-0.01,0.16,0.37
Group 1,MSFT,Microsoft,2017q4,2017-10-26,0.02,5.65,5.67,5.93,5.28
Group 1,MSFT,Microsoft,2018q1,2018-01-31,2.43,-0.76,1.65,1.41,0.54
Group 1,MSFT,Microsoft,2018q2,2018-04-26,1.21,1.58,2.81,1.84,1.5
Group 1,MSFT,Microsoft,2018q3,2018-07-19,-0.44,1.89,1.45,0.4,1.41
Group 1,AMZN,Amazon,2016q2,2016-04-28,0.1,10.01,10.13,7.99,10.44
Group 1,AMZN,Amazon,2016q3,2016-07-28,2.0,0.56,2.57,2.85,4.06
Group 1,AMZN,Amazon,2016q4,2016-10-27,-0.12,-4.88,-4.99,-6.16,-4.45
Group 1,AMZN,Amazon,2017q1,2017-02-02,0.85,-4.32,-3.51,-2.49,-1.9
Group 1,AMZN,Amazon,2017q2,2017-04-27,1.0,0.98,1.99,2.19,4.39
Group 1,AMZN,Amazon,2017q3,2017-07-27,-0.44,-2.38,-2.8,-1.58,-4.03
Group 1,AMZN,Amazon,2017q4,2017-10-26,-0.2,12.46,12.23,12.5,13.09
Group 1,AMZN,Amazon,2018q1,2018-02-01,-4.17,4.96,0.58,1.48,4.83
Group 1,AMZN,Amazon,2018q2,2018-04-26,3.06,3.53,6.69,6.62,7.82
Group 1,AMZN,Amazon,2018q3,2018-07-26,-2.83,1.28,-1.59,-0.55,-2.72
Group 1,AVGO,Broadcom,2016q2,2016-06-02,-0.27,5.13,4.85,4.88,5.48
Group 1,AVGO,Broadcom,2016q3,2016-09-01,0.3,-2.84,-2.54,-2.61,-5.38
Group 1,AVGO,Broadcom,2016q4,2016-12-08,0.91,4.52,5.47,6.59,6.44
Group 1,AVGO,Broadcom,2017q1,2017-03-01,0.66,1.69,2.36,1.7,2.3
Group 1,AVGO,Broadcom,2017q2,2017-06-01,-2.95,8.15,4.96,4.85,4.99
Group 1,AVGO,Broadcom,2017q3,2017-08-24,-0.61,-3.91,-4.5,-3.67,-5.28
Group 1,AVGO,Broadcom,2017q4,2017-12-06,0.99,-0.4,0.59,0.26,-2.02
Group 1,AVGO,Broadcom,2018q1,2018-03-15,2.97,-5.06,-2.24,-2.02,-5.71
Group 1,AVGO,Broadcom,2018q2,2018-06-07,0.55,-2.83,-2.3,-1.47,-0.49
Group 1,AVGO,Broadcom,2018q3,2018-09-06,-2.06,7.93,5.7,7.03,6.42
Group 1,FB,Meta Platforms,2016q2,2016-04-27,-0.15,8.06,7.9,6.22,7.65
Group 1,FB,Meta Platforms,2016q3,2016-07-27,1.87,1.18,3.07,2.56,1.95
Group 1,FB,Meta Platforms,2016q4,2016-11-02,-1.03,-5.24,-6.22,-6.65,-6.83
Group 1,FB,Meta Platforms,2017q1,2017-02-01,2.2,-1.85,0.31,-0.28,0.13
Group 1,FB,Meta Platforms,2017q2,2017-05-03,-0.38,-0.55,-0.93,-0.75,-1.11
Group 1,FB,Meta Platforms,2017q3,2017-07-26,0.21,3.13,3.34,2.54,2.02
Group 1,FB,Meta Platforms,2017q4,2017-11-01,1.37,-2.08,-0.74,-0.84,-0.64
Group 1,FB,Meta Platforms,2018q1,2018-01-31,-0.14,3.34,3.2,4.89,4.56
Group 1,FB,Meta Platforms,2018q2,2018-04-25,-0.08,8.16,8.08,5.3,4.68
Group 1,FB,Meta Platforms,2018q3,2018-07-25,0.49,-18.81,-18.41,-17.11,-18.48
Group 1,TSLA,Tesla,2016q2,2016-05-04,-3.58,-4.91,-8.32,-10.9,-12.28
Group 1,TSLA,Tesla,2016q3,2016-08-03,-1.06,2.05,0.97,0.46,-2.29
Group 1,TSLA,Tesla,2016q4,2016-10-26,0.23,1.27,1.5,1.74,-1.18
Group 1,TSLA,Tesla,2017q1,2017-02-22,-1.22,-6.31,-7.46,-6.25,-10.05
Group 1,TSLA,Tesla,2017q2,2017-05-03,-2.21,-4.93,-7.03,-8.19,-4.99
Group 1,TSLA,Tesla,2017q3,2017-08-02,2.08,6.72,8.94,7.37,9.5
Group 1,TSLA,Tesla,2017q4,2017-11-01,-3.23,-6.83,-9.84,-6.79,-6.16
Group 1,TSLA,Tesla,2018q1,2018-02-07,3.72,-5.16,-1.63,-2.89,-5.2
Group 1,TSLA,Tesla,2018q2,2018-05-02,0.97,-5.32,-4.4,-2.66,1.97
Group 1,TSLA,Tesla,2018q3,2018-08-01,1.04,15.64,16.83,19.4,15.98
Group 1,LLY,Eli Lilly,2016q2,2016-04-26,-2.48,0.05,-2.43,-2.02,-2.0
Group 1,LLY,Eli Lilly,2016q3,2016-07-26,-0.03,1.72,1.69,2.5,1.43
Group 1,LLY,Eli Lilly,2016q4,2016-10-25,0.67,-1.0,-0.33,-1.64,-3.86
Group 1,LLY,Eli Lilly,2017q1,2017-01-31,3.04,0.71,3.77,3.56,2.2
Group 1,LLY,Eli Lilly,2017q2,2017-04-25,-3.26,-0.29,-3.53,-2.77,-1.19
Group 1,LLY,Eli Lilly,2017q3,2017-07-25,-3.35,-0.42,-3.76,-3.65,-1.86
Group 1,LLY,Eli Lilly,2017q4,2017-10-24,-2.47,0.16,-2.31,-1.95,-3.98
Group 1,LLY,Eli Lilly,2018q1,2018-01-31,-5.4,1.21,-4.26,-4.94,-5.09
Group 1,LLY,Eli Lilly,2018q2,2018-04-24,1.0,1.23,2.25,3.77,4.79
Group 1,LLY,Eli Lilly,2018q3,2018-07-24,4.83,2.47,7.42,7.81,8.99
Group 1,WMT,Walmart,2016q2,2016-05-19,9.96,0.19,10.17,6.96,6.33
Group 1,WMT,Walmart,2016q3,2016-08-18,1.54,-1.82,-0.31,-0.36,-1.75
Group 1,WMT,Walmart,2016q4,2016-11-17,-3.54,-0.8,-4.32,-4.21,-3.05
Group 1,WMT,Walmart,2017q1,2017-02-21,2.42,0.54,2.97,3.52,4.55
Group 1,WMT,Walmart,2017q2,2017-05-18,2.88,0.83,3.74,5.63,4.52
Group 1,WMT,Walmart,2017q3,2017-08-17,-0.12,-0.37,-0.49,-0.45,-0.59
Group 1,WMT,Walmart,2017q4,2017-11-16,9.96,-2.07,7.69,6.73,4.8
Group 1,WMT,Walmart,2018q1,2018-02-20,-9.55,-2.31,-11.65,-10.35,-10.36
Group 1,WMT,Walmart,2018q2,2018-05-17,-1.93,-0.78,-2.7,-1.32,-1.97
Group 1,WMT,Walmart,2018q3,2018-08-16,8.53,-1.19,7.24,7.47,4.89
Group 2,CAT,Caterpillar,2016q2,2016-04-22,-0.62,-1.67,-2.28,-2.14,-0.33
Group 2,CAT,Caterpillar,2016q3,2016-07-26,5.0,1.76,6.84,6.25,4.1
Group 2,CAT,Caterpillar,2016q4,2016-10-25,-1.32,-0.14,-1.45,-2.28,-1.93
Group 2,CAT,Caterpillar,2017q1,2017-01-26,-0.83,1.98,1.13,2.32,-0.49
Group 2,CAT,Caterpillar,2017q2,2017-04-25,7.26,0.24,7.52,9.2,6.98
Group 2,CAT,Caterpillar,2017q3,2017-07-25,5.53,-0.88,4.6,6.18,7.06
Group 2,CAT,Caterpillar,2017q4,2017-10-24,4.82,-0.47,4.32,5.02,4.81
Group 2,CAT,Caterpillar,2018q1,2018-01-25,0.6,-2.36,-1.77,-2.31,-2.59
Group 2,CAT,Caterpillar,2018q2,2018-04-24,-5.06,0.44,-4.64,-4.14,-5.38
Group 2,CAT,Caterpillar,2018q3,2018-07-30,-1.41,2.34,0.9,1.66,-2.85
Group 2,GE,General Electric,2016q2,2016-04-22,-0.89,0.02,-0.88,-0.89,-0.68
Group 2,GE,General Electric,2016q3,2016-07-22,-2.08,-0.99,-3.05,-3.29,-4.43
Group 2,GE,General Electric,2016q4,2016-10-21,-0.3,-0.65,-0.95,-0.75,-0.21
Group 2,GE,General Electric,2017q1,2017-01-20,-2.54,-2.36,-4.84,-4.53,-4.13
Group 2,GE,General Electric,2017q2,2017-04-21,-2.09,-1.08,-3.15,-3.02,-4.53
Group 2,GE,General Electric,2017q3,2017-07-21,-2.83,-1.84,-4.62,-5.51,-5.23
Group 2,GE,General Electric,2017q4,2017-10-20,0.64,-5.91,-5.31,-3.41,-6.61
Group 2,GE,General Electric,2018q1,2018-01-24,-2.57,-1.59,-4.12,-0.1,0.19
Group 2,GE,General Electric,2018q2,2018-04-20,4.68,-0.09,4.58,7.67,5.27
Group 2,GE,General Electric,2018q3,2018-07-20,-4.34,-1.09,-5.39,-5.29,-5.39
Group 2,PG,Procter & Gamble,2016q2,2016-04-26,-2.62,0.16,-2.46,-1.64,-0.06
Group 2,PG,Procter & Gamble,2016q3,2016-08-02,1.12,-1.35,-0.25,0.93,-0.19
Group 2,PG,Procter & Gamble,2016q4,2016-10-25,3.85,0.77,4.65,3.9,3.92
Group 2,PG,Procter & Gamble,2017q1,2017-01-20,2.88,-0.37,2.51,2.63,1.18
Group 2,PG,Procter & Gamble,2017q2,2017-04-26,-2.5,-0.05,-2.55,-2.64,-3.25
Group 2,PG,Procter & Gamble,2017q3,2017-07-27,1.75,-0.41,1.34,1.53,2.37
Group 2,PG,Procter & Gamble,2017q4,2017-10-20,-4.07,-0.65,-4.69,-5.18,-5.31
Group 2,PG,Procter & Gamble,2018q1,2018-01-23,-3.35,-0.74,-4.07,-3.93,-5.53
Group 2,PG,Procter & Gamble,2018q2,2018-04-19,-2.7,-0.79,-3.47,-3.91,-4.47
Group 2,PG,Procter & Gamble,2018q3,2018-07-31,0.29,-0.15,0.14,0.23,1.43
